Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Input Reads after miREC error correction,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
DRR041393,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2301241,1301555,71989,725013,722561,469,256,56893,2675,91570,270680,41027,28084,85357,DRX037027,PRJDB2675,DRS007996,SAMD00004870,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041530,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,3782536,3563881,117085,2292242,2290147,512,1413,725570,6806,74044,269459,49651,12448,132248,DRX037164,PRJDB2675,DRS007988,SAMD00004950,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041578,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2906968,2713616,101261,1851235,1848312,508,1150,459383,7891,58615,181732,37776,13487,102347,DRX037212,PRJDB2675,DRS007989,SAMD00005945,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041592,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2010240,1917859,104623,934069,932221,418,482,564743,4046,31991,173070,93572,11904,103982,DRX037226,PRJDB2675,DRS007994,SAMD00004865,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041620,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2925215,2736780,110066,1870453,1868037,488,2569,293625,9718,122136,240101,73440,27193,97545,DRX037254,PRJDB2675,DRS007995,SAMD00005509,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR1664893,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664893,Red_blood_cell,51,49,17692965,17098600,128975,14938190,14935096,517,10661,81084,8,497,208243,1615870,3727,240320,SRX769817,PRJNA268835,SRS753967,SAMN03225413,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664894,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664894,Red_blood_cell,51,49,16713448,16356343,110797,14287188,14284568,497,21996,43166,0,508,166728,1646378,3600,186779,SRX769819,PRJNA268835,SRS753969,SAMN03225414,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664895,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664895,Red_blood_cell,51,49,31614208,31475833,173103,28180483,28174244,622,33700,117413,28,1027,251816,2469781,7016,414569,SRX769818,PRJNA268835,SRS753968,SAMN03225416,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664896,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664896,Red_blood_cell,51,49,9927231,9827320,60220,8928193,8927293,329,3005,14893,1,130,108641,634319,1446,136692,SRX769820,PRJNA268835,SRS753971,SAMN03225415,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664897,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664897,Red_blood_cell,51,49,21196809,20798327,140797,18676961,18673191,565,11034,41779,5,734,163301,1615594,6780,282139,SRX769821,PRJNA268835,SRS753970,SAMN03225412,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
